horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
1,4,2,0,6,2,1,1,4,3,2,3,8,9,5,4,18,11,11,0.0,M2018-04-11D,Race(1),,
2,0,3,5,8,1,1,3,5,4,3,3,10,5,7,11,23,10,10,0.0,M2018-04-11D,Race(1),,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-11D,Race(1),,
4,3,2,0,5,2,1,11,14,3,1,1,5,8,4,12,24,8,8,0.0,M2018-04-11D,Race(1),,
5,3,2,5,10,3,3,3,9,2,5,0,7,8,10,8,26,4.6,4.6,0.0,M2018-04-11D,Race(1),,
6,0,0,0,0,1,1,0,2,0,1,0,1,1,2,0,3,11,11,1.0,M2018-04-11D,Race(1),,
7,3,6,12,21,5,13,6,24,4,4,9,17,12,23,27,62,4.6,4.6,0.0,M2018-04-11D,Race(1),,
8,0,0,2,2,0,0,1,1,0,0,0,0,0,0,3,3,15,15,0.0,M2018-04-11D,Race(1),,
9,2,8,0,10,0,2,4,6,0,1,5,6,2,11,9,22,7,7,0.0,M2018-04-11D,Race(1),,
10,15,7,3,25,16,6,1,23,9,7,3,19,40,20,7,67,4.8,4.8,2.0,M2018-04-11D,Race(1),,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0.0,M2018-04-11D,Race(1),,
12,0,0,3,3,0,0,0,0,0,1,1,2,0,1,4,5,34,34,3.0,M2018-04-11D,Race(1),,
1,5,0,5,10,6,13,3,22,5,8,1,14,16,21,9,46,9,9,3.0,M2018-04-11D,Race(2),,
2,13,9,2,24,18,8,2,28,17,4,2,23,48,21,6,75,2.6,2.6,0.0,M2018-04-11D,Race(2),,
3,0,11,2,13,1,1,2,4,3,1,7,11,4,13,11,28,7,7,0.0,M2018-04-11D,Race(2),,
4,0,0,10,10,2,0,2,4,0,3,1,4,2,3,13,18,5.5,5.5,1.0,M2018-04-11D,Race(2),,
5,0,0,5,5,0,1,2,3,0,1,5,6,0,2,12,14,14,14,0.0,M2018-04-11D,Race(2),,
6,2,2,0,4,0,1,0,1,0,3,0,3,2,6,0,8,17,17,0.0,M2018-04-11D,Race(2),,
7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,15,15,0.0,M2018-04-11D,Race(2),,
8,0,0,0,0,0,2,1,3,0,1,0,1,0,3,1,4,21,21,0.0,M2018-04-11D,Race(2),,
9,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,41,41,0.0,M2018-04-11D,Race(2),,
10,0,2,0,2,1,0,2,3,0,1,2,3,1,3,4,8,15,15,0.0,M2018-04-11D,Race(2),,
11,10,6,6,22,2,3,15,20,1,4,6,11,13,13,27,53,7,7,2.0,M2018-04-11D,Race(2),,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,M2018-04-11D,Race(2),,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-11D,Race(3),,
2,0,0,2,2,3,4,3,10,0,7,1,8,3,11,6,20,10,10,0.0,M2018-04-11D,Race(3),,
3,17,7,0,24,6,19,3,28,9,8,6,23,32,34,9,75,3.3,3.3,3.0,M2018-04-11D,Race(3),,
4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,26,26,0.0,M2018-04-11D,Race(3),,
5,2,11,5,18,1,0,14,15,1,0,7,8,4,11,26,41,4.8,4.8,2.0,M2018-04-11D,Race(3),,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,126,0.0,M2018-04-11D,Race(3),,
7,0,4,3,7,1,0,0,1,1,2,0,3,2,6,3,11,13,13,0.0,M2018-04-11D,Race(3),,
8,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,31,31,0.0,M2018-04-11D,Race(3),,
9,3,0,8,11,0,0,1,1,0,0,1,1,3,0,10,13,6,6,0.0,M2018-04-11D,Race(3),,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,71,0.0,M2018-04-11D,Race(3),,
11,8,5,12,25,5,2,5,12,5,3,5,13,18,10,22,50,2.8,2.8,1.0,M2018-04-11D,Race(3),,
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,0.0,M2018-04-11D,Race(3),,
